age,mileage,vehicle_type,damage_level,scrap_price
10,52432,Motorcycle,High,2221.39
18,186906,Truck,High,3158.17
14,208980,Sedan,Medium,6090.07
10,157901,Motorcycle,Medium,4976.9
13,97634,Sedan,Medium,6990.85
19,192032,Van,Medium,4750.34
21,260357,Truck,High,3379.93
20,65243,Motorcycle,Low,2982.59
11,11882,SUV,Low,22998.35
22,54305,Motorcycle,High,904.66
21,155302,Sedan,Low,6172.64
10,148370,Motorcycle,Medium,4972.04
2,138769,Van,Low,33028.54
15,155890,Sedan,High,2361.65
19,70732,Van,Medium,4581.07
21,131544,SUV,Low,8662.0
14,187389,Sedan,High,2761.02
19,206573,SUV,Low,8448.58
7,222902,Motorcycle,Medium,6311.95
20,202946,Motorcycle,Medium,1937.42
3,5784,SUV,Medium,35044.49
8,150691,SUV,Low,24278.76
5,75065,SUV,Medium,20707.84
18,25771,Sedan,Low,6135.12
14,295312,SUV,Medium,8180.35
20,13464,Sedan,Medium,4922.68
20,42836,Truck,Low,10946.52
9,216605,Sedan,Medium,10503.81
20,91090,SUV,Low,8632.57
12,37855,Motorcycle,Medium,4037.07
12,232688,Truck,Low,22396.08
13,32549,Sedan,High,3113.37
16,72235,Motorcycle,Low,2869.95
19,192015,Motorcycle,High,912.03
12,87811,SUV,Medium,11122.36
13,142734,Sedan,Medium,6898.61
1,118420,Van,Medium,21124.01
6,180386,Truck,Low,38664.14
7,147127,Truck,High,10272.88
18,214364,Motorcycle,Low,2904.17
18,124901,Van,Low,7056.5
25,131458,SUV,Low,8192.26
12,149699,Motorcycle,High,1843.01
3,200974,Motorcycle,Medium,8354.02
7,83022,Truck,Low,33746.74
23,245117,Van,High,2152.78
11,117017,Sedan,Low,14006.05
1,156788,Sedan,High,8398.01
8,236112,Motorcycle,High,2682.57
4,274396,SUV,Low,34266.51
12,268217,Sedan,Low,11519.89
23,285973,Motorcycle,Low,2875.73
7,49201,Truck,Low,36638.5
9,124978,Motorcycle,Medium,5381.19
6,59465,Sedan,Medium,14057.36
3,292725,Motorcycle,Low,12170.31
22,217540,Van,Medium,4644.08
5,178365,Motorcycle,Low,11144.86
18,6205,SUV,Medium,8227.32
22,108768,SUV,High,2412.17
9,98955,SUV,Low,22878.8
2,101828,SUV,Low,36609.37
17,231354,Truck,High,3302.01
11,14891,Truck,Low,27494.71
24,55109,Sedan,Medium,4012.42
1,216663,Motorcycle,Medium,8833.34
11,44524,Truck,Medium,16171.77
19,79274,Sedan,Low,6289.86
13,227515,SUV,Low,15212.74
17,78740,SUV,Low,8696.42
9,24586,Sedan,Medium,10437.68
19,73415,SUV,High,2438.38
12,203065,SUV,High,4801.88
22,29304,Sedan,Low,6154.9
9,285066,Truck,Low,28879.17
4,105895,SUV,High,9751.7
6,276069,Motorcycle,Low,10811.44
6,132536,Van,Medium,16110.61
14,153535,Truck,Low,15740.86
6,267457,Motorcycle,Medium,7010.99
10,237111,Motorcycle,Low,7254.95
19,273434,Motorcycle,Medium,1890.2
6,33578,Van,Medium,15966.43
25,242930,Motorcycle,High,936.44
8,150085,Van,High,6568.76
12,97980,Van,Medium,9669.23
12,217213,Sedan,Medium,7946.92
13,216961,Truck,Medium,12362.05
3,145252,Motorcycle,Medium,8669.09
12,134125,Van,Low,14572.21
14,223360,Truck,Low,15821.89
12,119911,SUV,Medium,11301.1
23,199442,SUV,Medium,5666.47
25,146974,Motorcycle,Medium,1992.84
22,127329,Truck,Low,10866.09
23,218763,SUV,High,2615.94
19,294115,Truck,High,3158.95
10,111193,Motorcycle,Medium,5081.59
5,161138,Sedan,Medium,14588.18
6,244949,Motorcycle,Low,10757.19
18,122757,Truck,Medium,6818.18
22,155271,Motorcycle,High,884.57
24,230006,SUV,High,2539.59
14,58093,Motorcycle,High,1355.18
10,251619,Van,High,5257.64
20,291459,Sedan,Medium,3742.51
8,267192,Sedan,Low,17808.57
17,108145,Motorcycle,Low,2858.77
1,265625,SUV,Medium,24977.48
2,252217,SUV,Low,39474.48
9,286178,Van,Medium,13274.78
18,15013,Van,Low,8301.66
9,114055,Sedan,Low,17290.7
10,213788,SUV,High,6468.97
25,236746,Motorcycle,Low,2946.99
9,80576,Van,High,5740.68
23,160471,Truck,Medium,6812.99
7,62086,Motorcycle,Low,9991.85
19,162587,Sedan,Low,5937.25
19,142502,Van,High,2069.26
22,62586,SUV,High,2498.23
13,158161,Van,Medium,7852.93
14,241714,Sedan,Medium,5956.43
18,122543,SUV,Medium,5307.49
4,22228,Sedan,Medium,14987.6
12,19438,Sedan,Medium,8165.49
8,147663,Van,Low,22164.66
3,107072,SUV,Low,34886.67
9,117954,Motorcycle,High,2455.02
16,112541,Truck,High,3335.44
10,28902,Van,High,5560.46
9,51457,Sedan,Low,17102.21
16,118513,Sedan,Low,6296.39
18,52784,Sedan,Medium,3709.06
10,48535,Sedan,Low,15522.63
21,89698,Sedan,Low,6017.78
14,223624,Sedan,Medium,6093.35
2,42934,Van,High,9272.45
10,80696,Sedan,Low,14636.73
24,177557,Truck,High,3162.61
5,36412,SUV,Medium,19855.59
14,37182,Motorcycle,High,1415.39
4,259627,Van,Low,27951.58
18,205360,Sedan,Low,5894.36
16,56842,Sedan,Medium,3750.24
5,56254,Van,High,7945.64
1,75966,Truck,Medium,33908.55
1,89710,Van,High,10570.88
3,156691,Sedan,Low,24562.93
18,245845,Truck,Medium,6764.98
16,44365,Van,Low,7538.22
16,272426,Truck,Medium,6936.16
14,103315,Van,Low,10517.95
3,24665,Motorcycle,Medium,8382.53
4,203679,Sedan,High,7559.1
6,135811,SUV,Low,28954.15
2,44916,SUV,Low,39387.91
7,178799,Sedan,Medium,12797.71
14,102279,Motorcycle,Low,4457.93
9,185561,Truck,Low,31180.07
6,265491,Truck,Low,35917.62
21,195465,Truck,Medium,7174.91
3,249603,Van,High,9269.24
20,149660,Van,High,2249.62
12,228304,Motorcycle,High,1760.82
19,120818,Sedan,Low,5921.55
19,183642,Motorcycle,Medium,1920.33
22,215706,SUV,Medium,5385.78
17,160317,SUV,Low,8356.53
24,50310,Motorcycle,Low,2966.91
5,194595,Motorcycle,Medium,6965.81
13,9191,Motorcycle,Low,7258.22
3,159172,Truck,Low,47455.24
1,203219,Van,High,10727.57
14,99388,Truck,Low,16665.67
17,238349,Sedan,Low,5702.06
21,220928,Motorcycle,High,908.96
22,147576,Sedan,Medium,3757.87
5,9041,Motorcycle,Medium,9652.8
17,63364,Sedan,Medium,4044.37
22,89587,SUV,Low,8099.97
5,99886,SUV,High,9124.0
1,286044,Truck,Medium,32767.27
5,280780,SUV,Medium,21498.59
19,160797,Sedan,Low,5863.75
2,295583,Truck,Medium,31922.77
4,124628,Truck,Low,44083.57
8,186943,Sedan,Medium,11342.26
25,237257,SUV,Low,8623.56
17,73813,Sedan,Medium,3817.81
21,193420,Motorcycle,High,943.25
20,248459,Van,Low,6861.03
18,14014,Sedan,Low,7481.46
4,155836,Truck,Low,42341.54
20,179544,SUV,High,2585.76
4,142697,Truck,Medium,28236.32
15,155909,SUV,High,3003.97
3,272355,Van,High,8925.96
13,121398,Truck,Medium,12876.32
18,18074,SUV,Medium,5844.41
25,65507,SUV,Low,8166.41
22,238115,Truck,Low,11147.78
13,12204,Truck,Medium,15558.8
12,263467,Truck,High,6526.76
23,15934,Van,Medium,5147.73
24,5347,Motorcycle,High,1401.85
19,30605,Truck,Medium,7296.49
17,289804,Motorcycle,Low,2963.18
24,30412,Motorcycle,Medium,1934.47
8,127436,Motorcycle,Medium,5774.68
2,48512,Motorcycle,Medium,8462.52
14,53881,SUV,Medium,8324.22
3,161678,Van,High,8774.78
12,120318,Sedan,High,3520.93
16,213912,Van,High,2086.72
20,213545,Truck,Medium,6880.51
25,266565,SUV,Medium,5625.28
1,283661,Truck,High,14903.96
24,78839,Truck,Low,10489.6
17,7499,Sedan,Medium,5293.08
23,71070,Truck,Low,11037.76
11,134289,Motorcycle,High,1945.62
18,182228,Truck,Medium,6866.82
19,20096,Motorcycle,Low,3100.23
19,203612,Sedan,Low,5866.53
12,242071,Sedan,Low,12596.1
7,121194,SUV,High,8431.46
22,157628,Truck,Low,11265.39
3,173903,Van,Low,30677.6
8,29164,Truck,Low,33733.74
5,233108,Motorcycle,Low,11705.42
23,52524,Motorcycle,Low,2879.76
10,87299,Van,Low,18592.6
1,163353,Sedan,Medium,18458.33
25,97711,Sedan,Medium,3971.95
19,97323,Motorcycle,Medium,1970.3
16,7597,Motorcycle,Low,4446.46
12,22310,SUV,Low,17369.52
19,87256,Van,Low,7057.49
25,192848,Sedan,Low,5790.73
14,54922,Van,Low,10374.74
8,132673,SUV,Medium,16574.91
16,260440,Sedan,High,1721.12
2,16365,SUV,High,12817.99
11,230594,Sedan,Medium,8464.56
11,202432,Truck,High,7284.34
17,198182,Truck,High,3178.15
24,240665,Van,High,2227.37
5,123963,Sedan,Medium,15054.86
12,118872,SUV,High,4906.1
13,250745,Motorcycle,High,1617.27
10,178800,Motorcycle,Medium,4846.28
10,133483,Motorcycle,Low,7711.78
4,160036,Truck,Low,43967.57
23,59740,Sedan,High,1791.24
16,229347,Motorcycle,High,893.52
2,185670,SUV,High,11307.04
25,224199,Sedan,Low,5715.9
19,88949,Van,Low,7431.38
21,173376,Motorcycle,High,859.94
22,43891,Van,Low,6952.23
8,41305,Sedan,Medium,11674.8
18,236629,Sedan,Medium,3950.39
16,229174,SUV,Medium,5321.36
5,109030,Motorcycle,Low,11294.04
19,86428,Sedan,Low,5927.13
21,275960,Truck,High,3244.09
14,120694,Motorcycle,Low,4312.41
5,168351,SUV,Low,30051.13
24,133367,Motorcycle,Medium,2003.22
8,287000,Van,High,6252.23
8,43351,SUV,Low,24594.33
12,268299,Motorcycle,Medium,3943.92
5,256001,Van,High,7903.86
16,295321,SUV,High,2519.23
11,42527,Truck,Low,25319.02
5,26623,Sedan,Low,23127.62
22,20903,Motorcycle,Medium,1884.42
14,211002,Truck,Low,16088.35
8,198357,Sedan,Low,17978.13
9,170634,Truck,Low,31072.84
8,261381,Truck,High,9615.27
25,207324,Van,Medium,4903.44
9,282314,Motorcycle,High,2423.89
14,88751,SUV,Medium,8447.29
19,155983,Truck,Low,10283.41
14,77398,Truck,Low,16942.89
19,72954,Van,Medium,4599.03
18,180008,Sedan,Low,6191.05
2,226092,SUV,Medium,25493.38
23,263049,SUV,High,2632.05
24,172550,Sedan,High,1789.35
25,117989,Truck,High,3362.26
5,43246,SUV,High,9081.68
14,199640,Sedan,Low,8682.61
7,158462,Motorcycle,Medium,6369.25
23,8278,Truck,Medium,10224.21
24,248081,SUV,Medium,5250.45
17,157728,Sedan,Medium,3714.45
8,282715,SUV,Low,24677.36
18,80507,SUV,Low,8353.55
24,86820,Sedan,High,1835.77
9,171019,Sedan,High,5159.15
16,214820,Motorcycle,Low,2968.63
14,120191,SUV,High,3752.16
1,64152,Sedan,Low,29592.35
5,19190,Sedan,High,7054.18
10,268915,Truck,Low,26696.79
9,289760,SUV,Low,24238.49
7,226700,Motorcycle,High,2947.31
1,272129,SUV,High,12018.19
13,266496,Sedan,High,3057.66
1,180934,Truck,High,16032.31
14,74772,Sedan,High,2831.05
14,151764,Van,High,3348.2
4,103459,SUV,Medium,22105.64
25,54063,Van,Low,7109.42
21,5479,Sedan,Low,9259.41
10,210261,Sedan,Medium,9598.86
17,36464,Van,Low,6996.05
17,272162,Van,High,2215.58
24,23728,Truck,Medium,7116.92
2,152768,Sedan,Medium,17097.19
12,217686,Motorcycle,High,1771.19
22,116975,Truck,Low,10824.24
21,59016,Truck,High,3287.22
16,167683,Motorcycle,Medium,1921.19
2,108329,Sedan,High,8212.72
4,216453,Van,Medium,18498.04
15,62666,Motorcycle,Medium,2449.42
2,52820,Van,Low,31281.45
15,58848,Motorcycle,High,1128.05
18,112062,Motorcycle,High,864.25
3,60943,Truck,High,14359.14
14,276245,Motorcycle,Low,4313.33
19,251427,Motorcycle,Medium,1921.97
24,278319,SUV,High,2444.2
14,39431,Motorcycle,Low,4598.74
1,179503,Van,Low,33772.24
9,191928,Van,Low,19974.36
14,176520,Motorcycle,High,1302.74
12,134453,Truck,Low,22652.76
19,271956,SUV,Medium,5273.94
13,79462,Sedan,Medium,7101.7
23,257695,Truck,High,3092.03
22,178146,Van,Medium,4880.79
14,292337,Motorcycle,High,1399.82
1,111112,Sedan,Low,29322.78
11,112221,SUV,Medium,11890.37
25,206456,Motorcycle,High,905.42
21,121380,Truck,Medium,6717.88
12,37102,SUV,Medium,10511.35
17,199309,Truck,Medium,6743.76
8,7316,Van,Medium,20611.72
1,285583,Van,Medium,21396.51
24,9180,Motorcycle,Low,4104.68
23,92512,Motorcycle,Medium,1943.98
24,65793,Sedan,High,1762.65
11,72251,Motorcycle,High,2025.8
13,109028,Sedan,High,3011.87
15,48486,SUV,Low,10025.45
5,151097,SUV,Low,30854.89
10,261303,SUV,High,6592.52
12,258455,Motorcycle,Medium,3741.63
20,228972,Sedan,High,1814.33
21,253898,Sedan,Medium,3847.26
20,232804,Truck,Medium,6951.65
15,218238,Truck,Low,13644.8
24,202985,Van,Low,6980.24
25,144468,Sedan,Low,6069.0
12,84869,SUV,Medium,11405.91
22,204157,Truck,Low,11102.76
20,110010,SUV,Low,8683.74
19,44813,Truck,Low,11322.8
23,11965,Motorcycle,Low,3750.95
10,255735,SUV,Medium,13035.84
4,180413,Motorcycle,High,3631.23
3,177361,Sedan,High,7804.61
2,41303,Motorcycle,High,4183.17
5,224707,Sedan,Low,22508.82
5,215410,Truck,High,12237.26
7,142182,Motorcycle,Medium,6399.53
18,111591,SUV,Medium,5344.81
17,113536,Truck,Medium,7296.89
20,102984,Sedan,Medium,3927.48
16,52862,Truck,Medium,6839.21
23,269952,Motorcycle,High,889.86
10,130863,SUV,Low,21790.85
3,264446,SUV,High,10611.11
12,81678,Van,Low,14126.94
18,179625,Truck,High,3370.13
24,266126,SUV,Medium,5188.43
2,79055,Sedan,High,8011.81
2,50277,Truck,High,14939.08
1,172577,Sedan,High,8143.1
25,182167,Truck,Low,11149.81
16,65052,Motorcycle,High,873.26
2,108886,SUV,Medium,25549.36
21,118807,Motorcycle,High,919.15
7,11744,Sedan,Low,23764.48
2,32480,Van,High,9806.16
3,294954,Motorcycle,High,3677.34
1,167383,Van,Low,33083.34
21,125922,Truck,High,3386.4
3,180690,Van,High,9415.01
20,31514,Van,High,2101.7
9,120671,Motorcycle,Medium,5322.12
8,223881,Motorcycle,Low,9030.41
21,17966,Van,Low,7411.64
5,229966,Van,Low,26591.73
25,163911,Motorcycle,High,943.33
25,245123,Sedan,Medium,4060.43
8,43613,Sedan,Low,18863.06
22,292561,SUV,High,2590.5
8,9386,Van,Medium,19002.02
7,239810,Van,High,6872.73
5,54631,Van,High,8494.82
24,166703,SUV,High,2500.39
8,253706,Motorcycle,High,2798.15
21,20089,Sedan,Medium,4021.79
14,256100,Sedan,High,2698.71
13,70675,Van,High,3897.37
7,219521,SUV,Medium,17824.4
22,192451,Sedan,Low,6137.23
13,89654,Motorcycle,Medium,3300.54
6,101508,Motorcycle,Medium,6780.62
17,274944,Sedan,High,1835.86
7,239643,Motorcycle,Low,10188.36
11,93608,SUV,High,5906.31
20,286949,Van,Low,7173.94
19,131792,Truck,High,3251.49
5,174585,Truck,High,12121.59
15,84845,Motorcycle,Medium,2553.17
16,204324,Truck,Low,10852.97
7,297051,Truck,High,10563.91
11,20375,Sedan,High,4228.68
10,70430,Motorcycle,Low,7793.96
25,208178,Truck,Medium,7056.11
7,41684,SUV,High,8564.5
12,212870,Truck,Low,21674.27
15,47089,Sedan,Medium,4887.47
2,34403,Truck,Low,46191.2
20,101277,Truck,Medium,7086.24
21,99868,Van,Medium,4708.63
16,188281,Motorcycle,Low,3037.94
21,13734,SUV,High,2953.79
4,58307,SUV,Medium,22131.83
3,270906,Motorcycle,High,3647.57
9,94608,Van,Low,19604.97
21,185685,SUV,Low,8116.12
7,218948,Van,Low,24150.77
21,299017,Sedan,Medium,3770.58
2,12151,Motorcycle,High,4954.06
5,142195,SUV,Medium,20784.6
14,77819,Truck,High,5008.2
15,195568,SUV,Medium,7128.84
24,156141,Sedan,High,1855.62
16,53245,Truck,Medium,6943.5
22,197664,Motorcycle,High,924.93
16,139066,Sedan,High,1778.48
16,114197,Truck,High,3176.47
12,119750,Truck,Medium,14355.27
9,204657,Motorcycle,High,2592.61
22,224589,Truck,High,3142.36
24,145335,Van,Low,7406.32
18,124873,Truck,High,3255.24
14,88897,Motorcycle,Medium,2841.88
13,162136,Van,Medium,7977.34
1,246551,Motorcycle,Medium,9285.22
1,271281,Van,Medium,21660.25
25,219178,Van,High,2099.18
21,137027,Truck,Low,11200.97
24,230770,Van,High,2124.84
18,21606,Truck,Low,11084.21
10,172314,Sedan,Medium,10232.16
2,96681,Van,Medium,20851.28
6,9294,Sedan,Medium,17960.17
6,107839,Van,Low,25696.3
15,124158,Motorcycle,Low,3879.2
19,170010,Truck,High,3333.46
12,7509,SUV,High,7442.14
3,226097,SUV,Medium,23342.13
12,62639,Truck,Low,21981.42
23,7550,Truck,Medium,9459.64
6,299821,Sedan,Medium,13253.76
8,38937,SUV,Medium,16538.27
25,126918,SUV,Medium,5525.76
25,178335,SUV,Low,8649.89
24,57727,Sedan,Low,5843.4
12,20305,Truck,Low,21386.39
6,246549,Truck,Low,37994.14
22,204388,SUV,High,2480.67
23,31797,Van,Medium,4678.09
17,105893,Van,High,2198.21
12,158383,Truck,Low,21080.62
25,231172,Sedan,High,1858.28
21,47373,Van,Low,7073.41
3,254894,Truck,Medium,30815.97
11,120301,Motorcycle,High,1930.08
25,224088,SUV,Medium,5288.82
4,222963,Motorcycle,Low,11696.94
9,206993,Sedan,Low,17070.66
22,171440,Motorcycle,Medium,2040.35
24,92443,Motorcycle,Medium,2024.68
6,227463,Sedan,High,6147.25
4,272997,Motorcycle,Medium,7534.63
19,36043,Motorcycle,High,876.06
20,231223,SUV,Low,8643.68
8,181174,Sedan,Medium,11986.34
2,167930,Truck,Low,49631.67
24,288038,SUV,Low,8748.08
23,224557,Motorcycle,Low,3053.01
4,95829,SUV,Medium,22455.11
25,283405,Van,High,2258.77
10,268235,Truck,Low,27425.44
21,84824,Sedan,Low,5921.58
8,215102,Truck,Medium,20104.29
22,80892,Van,Low,7405.51
8,61133,SUV,Medium,15778.06
12,199555,Motorcycle,Medium,3886.96
20,38514,Sedan,High,1769.62
19,17731,Truck,High,3400.98
3,278330,SUV,High,10494.89
14,200303,SUV,Low,13087.11
22,87199,Van,Medium,4672.35
22,61205,Truck,Low,10700.64
22,65131,Motorcycle,High,866.39
11,38675,Motorcycle,Low,6991.13
17,63480,Motorcycle,Low,3055.59
3,33088,Van,Medium,19350.16
20,86589,SUV,Low,8478.71
8,213179,Van,Low,22219.59
15,119206,Motorcycle,Medium,2505.27
4,19105,Truck,Low,44777.44
22,241569,Motorcycle,Low,2982.62
10,186538,Van,High,5464.13
24,47454,Truck,Low,10321.0
9,171616,Sedan,Low,17009.63
6,8081,SUV,High,12172.95
17,132945,Van,Medium,4705.72
2,116697,Truck,High,14355.79
2,94181,Van,Medium,21066.32
15,212933,Sedan,Low,7611.43
2,147711,Sedan,High,8327.51
7,148205,Motorcycle,High,2980.51
22,187444,Truck,High,3100.29
23,81648,SUV,Medium,5482.77
4,28411,Sedan,Low,24792.25
22,74291,Motorcycle,Low,2871.5
25,169402,Sedan,Low,5846.74
13,36513,Sedan,High,3090.31
5,6531,Sedan,Low,32717.22
18,93635,Truck,Low,10447.72
25,293449,SUV,High,2578.26
25,207760,Van,Low,7361.04
21,220521,SUV,Medium,5646.24
8,286789,Van,High,6588.58
3,256073,SUV,High,10581.88
1,249243,Van,High,10471.8
21,259852,Motorcycle,Medium,1888.42
2,17129,Truck,Low,51018.7
23,57283,Sedan,Medium,4061.2
15,64842,Motorcycle,Low,3663.37
12,19462,Van,High,4318.6
6,118608,Motorcycle,Low,10530.54
3,62739,Van,Low,30973.98
21,164348,Truck,Medium,7325.19
14,252784,SUV,High,3740.47
11,209202,Sedan,High,3922.86
14,266366,Sedan,Low,8945.27
24,65989,Van,High,2141.7
5,228166,SUV,High,9312.38
4,75502,Motorcycle,Medium,8130.46
15,290161,SUV,Low,10365.87
16,113775,Motorcycle,Low,2908.68
17,255519,Truck,Low,10439.14
5,118988,Truck,High,12005.15
3,163296,Truck,Medium,30985.87
6,264123,Motorcycle,Low,10738.9
1,160638,Sedan,Low,29370.78
14,55731,Truck,Low,16404.46
4,201394,SUV,Medium,21864.81
4,213028,Van,High,8572.17
14,142327,Motorcycle,Low,4653.77
13,169203,Motorcycle,High,1650.12
13,272656,Motorcycle,Low,5101.14
18,297936,SUV,Low,8003.78
18,120285,Motorcycle,High,909.3
21,124452,Motorcycle,High,875.43
3,185625,Van,Low,31355.27
5,64566,SUV,Medium,21365.75
13,177926,Van,Low,12323.0
2,143528,Sedan,Medium,17976.16
22,81102,Van,Low,6899.01
15,94306,SUV,High,3041.92
16,70052,Van,Low,6854.7
18,64880,Motorcycle,High,907.51
13,33011,Motorcycle,Medium,3472.95
17,277965,Truck,High,3232.57
10,240298,Van,High,5160.72
